id_author,name,gender,birth_date,birth_place,nationality,description,active_start,province,region,country,latitude,longitude
ART48537029,mistaman,M,1976-09-11,Treviso,Italy,rapper italiano,1976-09-11,Treviso,Veneto,Italy,45.8066913,12.2063158
ART91352277,mondo marcio,M,1986-12-01,Milano,Italy,rapper e produttore discografico italiano,1986-12-01,Milano,Lombardia,Italy,45.4641943,9.1896346
ART71846481,mr. rain,M,1991-11-19,Desenzano del Garda,Italy,cantautore e rapper italiano (1991-),2011-01-01,Brescia,Lombardia,Italy,45.4694851,10.5389467
ART86576759,mudimbi,M,1986-10-17,San Benedetto del Tronto,Italy,cantante italiano,2013-01-01,Ascoli Piceno,Marche,Italy,42.9525328,13.8807144
ART52272796,neffa,M,1967-10-07,Scafati,Italy,"cantautore, rapper e produttore discografico italiano (1967-)",1988-01-01,Salerno,Campania,Italy,40.7499887,14.5269491
ART07629990,nesli,M,1980-12-29,Senigallia,Italy,"cantautore, rapper e produttore discografico italiano",1990-01-01,Ancona,Marche,Italy,43.7149517,13.2179488
ART19060721,niky savage,M,1997-07-22,Milano,Italia,Rapper italiano,unknown,Milano,Lombardia,Italy,45.4641943,9.1896346
ART78358659,nitro,M,1993-02-11,Vicenza,Italy,rapper italiano (1993-),2007-01-01,Vicenza,Veneto,Italy,45.6348591,11.4063543
ART07127070,noyz narcos,M,1979-12-15,Roma,Italy,rapper e produttore discografico italiano (1979-),1996-01-01,Roma,Lazio,Italy,41.8933203,12.4829321
ART42220690,o zulù,M,1970-11-15,Italy,unknown,unknown,1970-11-15,unknown,unknown,Italy,unknown,unknown
ART12092805,papa v,M,2001-02-19,Pieve Emanuele,Italy,rapper italiano (2001-),unknown,Milano,Lombardia,Italy,45.3559126,9.2020722
ART66932389,piotta,M,1973-04-26,Roma,Italy,rapper e produttore discografico italiano (1973-),1994-01-01,Roma,Lazio,Italy,41.8933203,12.4829321
ART87389753,priestess,F,2004-10,Montréal,Canadian,gruppo musicale canadese,2003-01-01,Montréal,Québec,Canada,unknown,unknown
ART08456301,rancore,M,1989-07-19,Roma,Italy,rapper italiano (1989-),2004-01-01,Roma,Lazio,Italy,41.8933203,12.4829321
ART89596800,rkomi,M,1994-04-19,Milano,Italy,rapper e cantautore italiano (1994-),2012-01-01,Milano,Lombardia,Italy,45.4641943,9.1896346
ART17240256,rocco hunt,M,1994-11-21,Salerno,Italy,cantautore e rapper italiano (1994-),2009-01-01,Salerno,Campania,Italy,40.4194416,15.3106085
ART08302616,rondodasosa,M,2002-04-29,San Siro,Italy,rapper italiano (2002-),2002-04-29,Milano,Lombardia,Italy,45.4782003,9.123964
ART04205421,rosa chemical,M,1998-01-30,Grugliasco,Italy,rapper e cantautore italiano (1998-),2015-01-01,Torino,Piemonte,Italy,45.068046,7.57762
ART74676403,rose villain,F,1989-07-20,Milano,Italy,cantautrice e rapper italiana (1989-),2010-01-01,Milano,Lombardia,Italy,45.4641943,9.1896346
ART02449272,roshelle,F,1995-09-18,Lodi,Italy,cantante e rapper italiana (1995-),2016-01-01,Lodi,Lombardia,Italy,45.2613104,9.4916781
ART48622722,salmo,M,1984-06-29,Olbia,Italy,rapper e produttore discografico italiano (1984-),1997-01-01,Gallura,Sardegna,Italy,40.9232659,9.5027442
ART56967402,samuel heron,M,1991,Italy,unknown,unknown,1991,unknown,unknown,Italy,unknown,unknown
ART87497821,sfera ebbasta,M,1992-12-07,Sesto San Giovanni,Italy,rapper italiano (1992-),2011-01-01,Milano,Lombardia,Italy,45.5357218,9.2376549
ART98307962,shablo,M,1980-11-17,Buenos Aires,Argentina,disc jockey e produttore discografico italo-argentino (1980-),1980-11-17,Buenos Aires,Greater Buenos Aires,Argentina,44.8037407,10.1430038
ART26418649,shade,M,1987-12-10,Torino,Italy,rapper e doppiatore italiano (1987-),2005-01-01,Torino,Piemonte,Italy,45.0677551,7.6824892
ART64850829,shiva,M,http://www.wikidata.org/.well-known/genid/4111f32c49a23235b2e902dc8621d27c,India,Indian,dio indiano della distruzione e della trasformazione,1952-11-04,unknown,unknown,India,unknown,unknown
ART41225226,skioffi,M,unknown,Italy,unknown,unknown,unknown,unknown,unknown,Italy,unknown,unknown
