ID_track_FK,ID_artist_FK,role
395,51,main
396,51,main
397,51,main
398,51,main
399,51,main
400,51,main
401,51,main
402,51,main
403,51,main
404,51,main
405,51,main
406,51,main
407,51,main
408,51,main
409,51,main
410,51,main
411,51,main
412,51,main
413,51,main
414,51,main
415,51,main
416,51,main
417,51,main
418,51,main
419,51,main
420,51,main
421,51,main
422,51,main
423,51,main
424,51,main
425,51,main
426,51,main
427,51,main
428,51,main
429,51,main
430,51,main
431,51,main
432,51,main
433,51,main
434,51,main
435,51,main
436,51,main
437,51,main
438,51,main
439,51,main
440,51,main
441,51,main
442,51,main
443,51,main
444,51,main
445,51,main
446,51,main
447,51,main
448,51,main
449,51,main
450,51,main
451,51,main
452,51,main
453,51,main
454,51,main
455,51,main
456,51,main
457,51,main
458,51,main
459,51,main
460,51,main
461,51,main
462,51,main
463,51,main
464,51,main
465,51,main
466,51,main
467,51,main
468,51,main
469,51,main
470,51,main
471,51,main
472,51,main
473,51,main
474,51,main
475,51,main
476,51,main
477,51,main
478,51,main
479,51,main
480,51,main
481,51,main
482,51,main
483,51,main
484,51,main
485,51,main
486,51,main
487,51,main
488,51,main
489,51,main
490,51,main
491,51,main
492,51,main
493,51,main
494,51,main
495,51,main
496,51,main
497,51,main
498,51,main
499,51,main
500,51,main
501,51,main
502,51,main
503,51,main
504,51,main
505,51,main
506,51,main
507,51,main
508,51,main
509,51,main
510,51,main
511,51,main
512,51,main
513,51,main
686,6,main
687,6,main
688,6,main
689,6,main
690,6,main
691,6,main
692,6,main
693,6,main
694,6,main
695,6,main
696,6,main
697,6,main
698,6,main
699,6,main
700,6,main
701,6,main
702,6,main
703,6,main
704,6,main
705,6,main
706,6,main
707,6,main
708,6,main
709,6,main
710,6,main
711,6,main
712,6,main
713,6,main
714,6,main
715,6,main
716,6,main
717,6,main
718,6,main
719,6,main
720,6,main
721,6,main
722,6,main
723,6,main
724,6,main
725,6,main
726,6,main
727,6,main
728,6,main
729,6,main
730,6,main
731,6,main
732,6,main
733,6,main
734,6,main
735,6,main
736,6,main
737,6,main
738,6,main
739,6,main
740,6,main
741,6,main
742,6,main
